repo_id,artifact_type,artifact_path,state_180,introduced_at,last_touch_at,days_since_last_touch,touch_count,present_in_head,git_state_correct,substantial_last_touch,apparent_semantic_relevance,ambiguous,annotator_notes
obra/superpowers,skill_md,skills/test-driven-development/SKILL.md,ACTIVE,2025-10-16 14:19:00+00:00,2025-12-12 04:41:15+00:00,168,4,True,yes,yes,yes,no,
openclaw/openclaw,claude_md,test/CLAUDE.md,ACTIVE,2025-12-02 06:52:56+00:00,2026-05-30 00:11:05+00:00,11,6,True,yes,yes,no,yes,artifact file missing from local clone at annotation time
payloadcms/payload,skill_md,tools/claude-plugin/skills/payload/SKILL.md,ACTIVE,2025-10-28 00:50:30+00:00,2026-05-06 14:43:40+00:00,34,8,True,yes,yes,yes,no,
wshobson/agents,skill_md,plugins/developer-essentials/skills/code-review-excellence/SKILL.md,ACTIVE,2025-10-24 01:05:06+00:00,2026-03-07 15:53:17+00:00,89,3,True,yes,yes,yes,no,
obra/superpowers,skill_md,skills/finishing-a-development-branch/SKILL.md,ACTIVE,2025-10-16 14:19:00+00:00,2026-05-04 22:05:01+00:00,24,4,True,yes,yes,yes,no,
langgenius/dify,agents_md,dify-agent/AGENTS.md,ACTIVE,2025-11-12 09:59:37+00:00,2026-05-14 06:04:44+00:00,27,7,True,yes,yes,yes,no,
wshobson/agents,skill_md,plugins/backend-development/skills/api-design-principles/SKILL.md,ACTIVE,2025-10-17 00:33:27+00:00,2026-05-22 12:18:21+00:00,13,4,True,yes,yes,yes,no,
n8n-io/n8n,claude_md,packages/@n8n/node-cli/src/template/templates/shared/default/CLAUDE.md,ACTIVE,2025-08-14 08:06:37+00:00,2026-03-09 09:42:22+00:00,93,4,True,yes,yes,no,yes,very short or empty content
wshobson/agents,skill_md,plugins/kubernetes-operations/skills/k8s-security-policies/SKILL.md,ACTIVE,2025-10-17 00:33:27+00:00,2026-03-07 15:53:17+00:00,89,3,True,yes,yes,yes,no,
huggingface/transformers,agents_md,AGENTS.md,ACTIVE,2025-06-10 16:27:37+00:00,2026-03-18 14:06:58+00:00,83,8,True,yes,yes,yes,no,
ruvnet/ruflo,skill_md,v3/@claude-flow/cli/.claude/skills/verification-quality/SKILL.md,ACTIVE,2025-10-20 01:15:53+00:00,2026-05-21 19:32:28+00:00,19,7,True,yes,yes,yes,no,
openclaw/openclaw,claude_md,src/channels/plugins/contracts/test-helpers/CLAUDE.md,ACTIVE,2025-12-02 06:52:56+00:00,2026-04-28 01:13:58+00:00,43,7,True,yes,yes,no,yes,artifact file missing from local clone at annotation time
wshobson/agents,skill_md,plugins/framework-migration/skills/database-migration/SKILL.md,ACTIVE,2025-10-17 00:33:27+00:00,2026-05-22 12:18:21+00:00,13,4,True,yes,yes,yes,no,
