repo_id,commit_volume,n_repo_files,repo_age_proxy_days,n_ai_touch_commits,ci_present,maturity_score,maturity_tier
haproxy/haproxy,8000,1508,904,6,0.0,0.4393939393939394,Medium
apache/pulsar,8000,5491,13,2,0.0,0.5590111642743222,Medium
rabbitmq/rabbitmq-server,61992,3531,154,9,1.0,0.8157894736842106,High
apache/cassandra,31927,8493,58,1,0.0,0.6905901116427433,High
apache/dubbo,8875,4840,0,1,0.0,0.5869218500797447,Medium
quarkusio/quarkus,59545,30768,75,6,1.0,0.9385964912280702,High
micronaut-projects/micronaut-core,15318,8262,3,1,0.0,0.6634768740031898,High
detekt/detekt,7173,1887,126,4,0.0,0.43859649122807015,Medium
JetBrains/kotlin,8000,105800,146,26,0.0,0.6658692185007974,High
scala/scala,37397,13632,110,3,0.0,0.7256778309409889,High
scalacenter/scalafix,4385,827,250,2,0.0,0.3413078149920255,Low
strapi/strapi,37290,6005,48,4,0.0,0.6778309409888358,High
directus/directus,8592,4450,267,8,0.0,0.5725677830940988,Medium
payloadcms/payload,15482,8312,278,29,1.0,0.8333333333333334,High
appwrite/appwrite,35795,3042,173,15,1.0,0.777511961722488,High
hasura/graphql-engine,8447,13657,89,4,0.0,0.6491228070175439,High
prisma/prisma,12226,4615,223,20,0.0,0.6076555023923446,Medium
apache/httpd,8571,5531,56,4,0.0,0.5964912280701754,Medium
mochajs/mocha,4040,652,65,4,0.0,0.32216905901116427,Low
microsoft/playwright,8000,3206,237,73,1.0,0.6810207336523125,High
apache/flink,8000,26094,54,5,0.0,0.6451355661881978,High
apache/beam,47301,15306,896,16,0.0,0.7400318979266348,High
mongodb/mongo,8000,53394,239,15,1.0,0.8229665071770335,High
facebook/rocksdb,8005,2231,126,10,0.0,0.5087719298245613,Medium
meilisearch/meilisearch,14035,1739,85,2,0.0,0.5326953748006379,Medium
algolia/algoliasearch-client-javascript,1443,1262,139,1,1.0,0.46331738437001596,Medium
excalidraw/excalidraw,4001,1226,377,1,0.0,0.35247208931419455,Low
fastapi/fastapi,7270,2978,104,4,0.0,0.4784688995215311,Medium
home-assistant/core,111300,26052,348,21,0.0,0.7735247208931421,High
remix-run/react-router,10957,1213,194,8,0.0,0.48803827751196166,Medium
openclaw/openclaw,58395,19921,197,758,1.0,0.919457735247209,High
obra/superpowers,441,147,231,105,0.0,0.1738437001594896,Low
affaan-m/ECC,2064,3150,143,376,0.0,0.39074960127591707,Medium
ultraworkers/claw-code,1680,386,68,6,0.0,0.23604465709728864,Low
NousResearch/hermes-agent,11279,4955,127,394,0.0,0.6140350877192983,Medium
avelino/awesome-go,5411,94,244,1,0.0,0.291866028708134,Low
multica-ai/andrej-karpathy-skills,28,9,83,3,0.0,0.14035087719298245,Low
f/prompts.chat,7022,1517,178,5,0.0,0.41307814992025516,Medium
langflow-ai/langflow,18129,7550,103,9,1.0,0.8317384370015949,High
anthropics/skills,41,398,236,24,0.0,0.1802232854864434,Low
firecrawl/firecrawl,5627,1440,307,3,1.0,0.554226475279107,Medium
mattpocock/skills,102,72,127,71,0.0,0.15311004784688995,Low
github/spec-kit,1109,364,263,51,0.0,0.22169059011164274,Low
garrytan/gstack,319,1124,90,230,0.0,0.24561403508771928,Low
thedotmack/claude-mem,2005,915,237,222,0.0,0.29346092503987237,Low
thedaviddias/Front-End-Checklist,741,1869,10,5,0.0,0.30303030303030304,Low
ruvnet/RuView,897,2644,148,24,1.0,0.5063795853269538,Medium
daytonaio/daytona,2678,5683,63,2,0.0,0.4720893141945773,Medium
JuliusBrussee/caveman,185,145,46,51,0.0,0.16427432216905902,Low
bytedance/deer-flow,2249,1250,429,207,0.0,0.31897926634768736,Low
paperclipai/paperclip,2672,2855,112,111,0.0,0.40191387559808617,Medium
unclecode/crawl4ai,1533,878,419,1,0.0,0.2807017543859649,Low
pewdiepie-archdaemon/odysseus,1106,1033,7,5,0.0,0.2727272727272727,Low
shareAI-lab/learn-claude-code,115,448,105,1,0.0,0.1945773524720893,Low
safishamsi/graphify,681,571,56,1,0.0,0.22488038277511965,Low
ComposioHQ/awesome-claude-skills,75,1142,216,16,0.0,0.23444976076555024,Low
openinterpreter/openinterpreter,5909,4269,411,118,1.0,0.6562998405103668,High
cline/cline,6092,3391,190,74,1.0,0.6483253588516747,High
nexu-io/open-design,2181,7403,43,162,0.0,0.4641148325358852,Medium
code-yeongyu/oh-my-openagent,8511,4052,189,368,1.0,0.7328548644338119,High
earendil-works/pi,4502,843,305,104,0.0,0.3508771929824561,Low
warpdotdev/warp,1026,5508,43,10,0.0,0.41148325358851673,Medium
rtk-ai/rtk,1137,370,131,38,0.0,0.2248803827751196,Low
ruvnet/ruflo,6700,4690,365,241,1.0,0.6738437001594897,High
shanraisshan/claude-code-best-practice,977,451,218,28,0.0,0.2328548644338118,Low
Egonex-AI/Understand-Anything,568,413,87,77,0.0,0.2073365231259968,Low
tw93/Mole,2444,199,178,18,0.0,0.24401913875598083,Low
MemPalace/mempalace,1234,441,61,10,0.0,0.23684210526315788,Low
Fission-AI/OpenSpec,602,842,302,31,0.0,0.24561403508771928,Low
santifer/career-ops,266,207,67,34,0.0,0.17543859649122806,Low
addyosmani/agent-skills,215,77,114,74,0.0,0.1594896331738437,Low
BerriAI/litellm,39639,7139,369,93,0.0,0.685805422647528,High
bmad-code-org/BMAD-METHOD,1914,573,422,167,0.0,0.26156299840510366,Low
colbymchenry/codegraph,443,301,141,25,0.0,0.18819776714513556,Low
zhayujie/CowAgent,2019,617,130,26,0.0,0.26953748006379585,Low
HKUDS/nanobot,2868,651,129,49,0.0,0.3062200956937799,Low
ChromeDevTools/chrome-devtools-mcp,927,270,148,24,0.0,0.20893141945773527,Low
HKUDS/CLI-Anything,788,1630,88,146,0.0,0.291866028708134,Low
abhigyanpatwari/GitNexus,1234,3783,144,69,0.0,0.3867623604465709,Low
Leonxlnx/taste-skill,101,39,110,54,0.0,0.14832535885167464,Low
sickn33/antigravity-awesome-skills,1870,14921,146,586,1.0,0.6562998405103668,High
mvanhorn/last30days-skill,623,235,133,173,0.0,0.1929824561403509,Low
danny-avila/LibreChat,4486,3279,760,16,0.0,0.4513556618819777,Medium
Hmbown/CodeWhale,2524,679,140,103,0.0,0.2966507177033493,Low
pbakaus/impeccable,769,1937,205,155,0.0,0.30940988835725675,Low
router-for-me/CLIProxyAPI,2668,811,63,3,0.0,0.3141945773524721,Low
wshobson/agents,450,1046,231,83,0.0,0.24880382775119617,Low
luongnv89/claude-howto,220,660,214,28,0.0,0.2169059011164274,Low
veggiemonk/awesome-docker,3113,55,245,6,0.0,0.25199362041467305,Low
Yeachan-Heo/oh-my-claudecode,3271,5754,150,478,0.0,0.4808612440191387,Medium
multica-ai/multica,3563,2709,131,107,0.0,0.41307814992025516,Medium
