repo_id,instruction_file,scope_mode,governed_scope_description,n_governed_paths_head,n_governed_code_events,n_instruction_updates,sync_0,sync_7,sync_30,median_lag_days_30,n_content_refs,n_content_refs_used,notes
BerriAI/litellm,CLAUDE.md,repo_wide,repository-wide (non-excluded paths),6657,33078,31,0.0007255577725376383,0.15638793155571679,0.2704516597134047,5.712175925925926,52,4,
BerriAI/litellm,CLAUDE.md,subtree,subtree=repo root (equivalent to repo-wide for root instruction files),6657,33078,31,0.0007255577725376383,0.15638793155571679,0.2704516597134047,5.712175925925926,52,4,
BerriAI/litellm,CLAUDE.md,content_referenced,content-referenced (4/52 refs resolved in HEAD),5945,25449,31,0.0006680026720106881,0.16865102754528666,0.29352823293646113,5.768362268518519,52,4,
BerriAI/litellm,litellm/proxy/_experimental/mcp_server/CLAUDE.md,repo_wide,repository-wide (non-excluded paths),6657,33085,1,3.0225177572918242e-05,0.0024784645609792957,0.026900408039897235,24.60045138888889,4,0,
BerriAI/litellm,litellm/proxy/_experimental/mcp_server/CLAUDE.md,subtree,subtree `litellm/proxy/_experimental/mcp_server/` (non-excluded paths),26,433,1,0.0,0.016166281755196306,0.09699769053117784,20.424971064814816,4,0,
BerriAI/litellm,litellm/proxy/_experimental/mcp_server/CLAUDE.md,content_referenced,content-referenced (0/4 refs resolved in HEAD),0,0,1,,,,,4,0,No governed-code events under this scope mode.; No content references resolved in HEAD; content-referenced scope is empty.
payloadcms/payload,CLAUDE.md,repo_wide,repository-wide (non-excluded paths),8147,13756,17,0.0009450421634195987,0.03547542890375109,0.08767083454492584,9.97597800925926,222,6,
payloadcms/payload,CLAUDE.md,subtree,subtree=repo root (equivalent to repo-wide for root instruction files),8147,13756,17,0.0009450421634195987,0.03547542890375109,0.08767083454492584,9.97597800925926,222,6,
payloadcms/payload,CLAUDE.md,content_referenced,content-referenced (6/222 refs resolved in HEAD),7984,8979,17,0.0008909678137877269,0.049671455618665775,0.12640605858113377,10.79988425925926,222,6,
payloadcms/payload,packages/codemod/CLAUDE.md,repo_wide,repository-wide (non-excluded paths),8147,13760,2,0.00014534883720930232,0.005450581395348837,0.026453488372093024,17.059149305555554,25,2,
payloadcms/payload,packages/codemod/CLAUDE.md,subtree,subtree `packages/codemod/` (non-excluded paths),159,22,2,0.09090909090909091,0.22727272727272727,0.8636363636363636,20.849722222222223,25,2,
payloadcms/payload,packages/codemod/CLAUDE.md,content_referenced,content-referenced (2/25 refs resolved in HEAD),1,1848,2,0.0005411255411255411,0.003787878787878788,0.012445887445887446,17.888020833333332,25,2,
prefecthq/prefect,AGENTS.md,repo_wide,repository-wide (non-excluded paths),4966,17791,13,0.0006744983418582429,0.02529368781968411,0.09010173683323028,12.98755787037037,110,16,
prefecthq/prefect,AGENTS.md,subtree,subtree=repo root (equivalent to repo-wide for root instruction files),4966,17791,13,0.0006744983418582429,0.02529368781968411,0.09010173683323028,12.98755787037037,110,16,
prefecthq/prefect,AGENTS.md,content_referenced,content-referenced (16/110 refs resolved in HEAD),4892,13700,13,0.000802919708029197,0.03,0.10854014598540146,13.005115740740742,110,16,
prefecthq/prefect,docs/AGENTS.md,repo_wide,repository-wide (non-excluded paths),4966,17786,8,0.00011244799280332846,0.02260204655346902,0.07078601146969526,12.745659722222221,85,2,
prefecthq/prefect,docs/AGENTS.md,subtree,subtree `docs/` (non-excluded paths),1083,3077,8,0.0006499837504062399,0.025674358141046474,0.05622359441013974,7.880706018518518,85,2,
prefecthq/prefect,docs/AGENTS.md,content_referenced,content-referenced (2/85 refs resolved in HEAD),1092,3077,8,0.0006499837504062399,0.025674358141046474,0.05622359441013974,7.880706018518518,85,2,
grafana/grafana,CLAUDE.md,repo_wide,repository-wide (non-excluded paths),19773,63841,1,1.566391503892483e-05,0.004840149747027772,0.018076157954919254,14.60300925925926,1,0,
grafana/grafana,CLAUDE.md,subtree,subtree=repo root (equivalent to repo-wide for root instruction files),19773,63841,1,1.566391503892483e-05,0.004840149747027772,0.018076157954919254,14.60300925925926,1,0,
grafana/grafana,CLAUDE.md,content_referenced,content-referenced (0/1 refs resolved in HEAD),0,0,1,,,,,1,0,No governed-code events under this scope mode.; No content references resolved in HEAD; content-referenced scope is empty.
grafana/grafana,docs/AGENTS.md,repo_wide,repository-wide (non-excluded paths),19773,63841,1,1.566391503892483e-05,0.003821995269497658,0.014849391456900738,14.3265625,36,1,
grafana/grafana,docs/AGENTS.md,subtree,subtree `docs/` (non-excluded paths),757,8329,1,0.0,0.0026413735142273983,0.01104574378676912,14.996597222222222,36,1,
grafana/grafana,docs/AGENTS.md,content_referenced,content-referenced (1/36 refs resolved in HEAD),757,8329,1,0.0,0.0026413735142273983,0.01104574378676912,14.996597222222222,36,1,
