repo_id,instruction_file,scope_mode,governed_scope_description,n_governed_paths_head,n_governed_code_events,n_instruction_updates,sync_0,sync_7,sync_30,median_lag_days_30,n_content_refs,n_content_refs_used,n_package_roots_detected,package_roots_used,package_subtree_status,notes,parser_version
dagster-io/dagster,CLAUDE.md,subtree,subtree=repo root (equivalent to repo-wide for root instruction files),12425,27406,20,0.0006567904838356564,0.020251039918266073,0.04878493760490404,11.134467592592593,36,36,0,,,,v2
dagster-io/dagster,CLAUDE.md,content_referenced,content-referenced (36/36 refs resolved in HEAD),12083,25351,20,0.0006311388110922646,0.01948641079247367,0.04599424085834878,10.715949074074075,36,36,0,,,,v2
dagster-io/dagster,CLAUDE.md,package_subtree,"package-subtree (`docs/`, `examples/`, `js_modules/`, `python_modules/`, `python_modules/dagster/`)",12078,25290,20,0.00055357848952155,0.01937524713325425,0.045907473309608544,10.956805555555556,36,36,214,docs/;examples/;js_modules/;python_modules/;python_modules/dagster/,usable,,v2
dagster-io/dagster,docs/CLAUDE.md,repo_wide,repository-wide (non-excluded paths),12425,27407,4,0.00010946108658371948,0.010873134600649469,0.045937169336300945,17.06037037037037,6,5,0,,,,v2
dagster-io/dagster,docs/CLAUDE.md,subtree,subtree `docs/` (non-excluded paths),936,5089,4,0.0005895067793279622,0.01296914914521517,0.037728433876989584,10.032390046296296,6,5,0,,,,v2
dagster-io/dagster,docs/CLAUDE.md,content_referenced,content-referenced (5/6 refs resolved in HEAD),937,5214,4,0.0005753739930955121,0.013617184503260453,0.038358266206367474,9.990758101851853,6,5,0,,,,v2
dagster-io/dagster,docs/CLAUDE.md,package_subtree,package-subtree (`docs/`),936,5089,4,0.0005895067793279622,0.01296914914521517,0.037728433876989584,10.032390046296296,6,5,214,docs/,usable,,v2
apache/airflow,CLAUDE.md,repo_wide,repository-wide (non-excluded paths),12127,37018,1,0.0,0.0038899994597222974,0.016370414392998002,14.537847222222222,98,86,0,,,,v2
apache/airflow,CLAUDE.md,subtree,subtree=repo root (equivalent to repo-wide for root instruction files),12127,37018,1,0.0,0.0038899994597222974,0.016370414392998002,14.537847222222222,98,86,0,,,,v2
apache/airflow,CLAUDE.md,content_referenced,content-referenced (86/98 refs resolved in HEAD),10579,18239,1,0.0,0.007072756181808213,0.02999067931355886,14.534664351851852,98,86,0,,,,v2
apache/airflow,CLAUDE.md,package_subtree,"package-subtree (`airflow-core/`, `airflow-ctl/`, `chart/`, `dev/`, `dev/breeze/`, +5 more)",4987,11132,1,0.0,0.00853395616241466,0.0371900826446281,14.578015046296297,98,86,169,airflow-core/;airflow-ctl/;chart/;dev/;dev/breeze/;dev/mypy/;devel-common/;providers/amazon/;scripts/;task-sdk/,usable,,v2
apache/airflow,airflow-core/src/airflow/_shared/AGENTS.md,repo_wide,repository-wide (non-excluded paths),12127,37019,2,5.402631081336611e-05,0.013803722412815042,0.042491693454712445,12.668368055555556,2,2,0,,,,v2
apache/airflow,airflow-core/src/airflow/_shared/AGENTS.md,subtree,subtree `airflow-core/src/airflow/_shared/` (non-excluded paths),15,14,2,0.0,0.07142857142857142,0.07142857142857142,5.344351851851852,2,2,0,,,,v2
apache/airflow,airflow-core/src/airflow/_shared/AGENTS.md,content_referenced,content-referenced (2/2 refs resolved in HEAD),138,163,2,0.0,0.04294478527607362,0.18404907975460122,15.04379050925926,2,2,0,,,,v2
apache/airflow,airflow-core/src/airflow/_shared/AGENTS.md,package_subtree,package-subtree (`airflow-core/`),2578,4197,2,0.0004765308553728854,0.04384083869430545,0.1367643554920181,13.212511574074075,2,2,169,airflow-core/,usable,,v2
BerriAI/litellm,CLAUDE.md,repo_wide,repository-wide (non-excluded paths),6657,33078,31,0.0007255577725376383,0.15638793155571679,0.2704516597134047,5.712175925925926,12,12,0,,,,v2
BerriAI/litellm,CLAUDE.md,subtree,subtree=repo root (equivalent to repo-wide for root instruction files),6657,33078,31,0.0007255577725376383,0.15638793155571679,0.2704516597134047,5.712175925925926,12,12,0,,,,v2
BerriAI/litellm,CLAUDE.md,content_referenced,content-referenced (12/12 refs resolved in HEAD),3732,21097,31,0.0006636014599232118,0.15461914016210834,0.2725979997155994,5.8544328703703705,12,12,0,,,,v2
BerriAI/litellm,CLAUDE.md,package_subtree,package-subtree (inconclusive_no_package_roots),0,0,31,,,,,12,12,15,,inconclusive_no_package_roots,No governed-code events under this scope mode.; Package-subtree scope inconclusive_no_package_roots.,v2
BerriAI/litellm,litellm/proxy/_experimental/mcp_server/CLAUDE.md,repo_wide,repository-wide (non-excluded paths),6657,33085,1,3.0225177572918242e-05,0.0024784645609792957,0.026900408039897235,24.60045138888889,0,0,0,,,,v2
BerriAI/litellm,litellm/proxy/_experimental/mcp_server/CLAUDE.md,subtree,subtree `litellm/proxy/_experimental/mcp_server/` (non-excluded paths),26,433,1,0.0,0.016166281755196306,0.09699769053117784,20.424971064814816,0,0,0,,,,v2
BerriAI/litellm,litellm/proxy/_experimental/mcp_server/CLAUDE.md,content_referenced,content-referenced (0/0 refs resolved in HEAD),0,0,1,,,,,0,0,0,,,No governed-code events under this scope mode.; No content references resolved in HEAD; content-referenced scope is empty.,v2
BerriAI/litellm,litellm/proxy/_experimental/mcp_server/CLAUDE.md,package_subtree,package-subtree fallback to subtree `litellm/proxy/_experimental/mcp_server/`,26,433,1,0.0,0.016166281755196306,0.09699769053117784,20.424971064814816,0,0,15,litellm/proxy/_experimental/mcp_server/,fallback_subtree_nested,Nested instruction: package-subtree fell back to parent subtree.,v2
payloadcms/payload,CLAUDE.md,repo_wide,repository-wide (non-excluded paths),8147,13756,17,0.0009450421634195987,0.03547542890375109,0.08767083454492584,9.97597800925926,38,34,0,,,,v2
payloadcms/payload,CLAUDE.md,subtree,subtree=repo root (equivalent to repo-wide for root instruction files),8147,13756,17,0.0009450421634195987,0.03547542890375109,0.08767083454492584,9.97597800925926,38,34,0,,,,v2
payloadcms/payload,CLAUDE.md,content_referenced,content-referenced (34/38 refs resolved in HEAD),7997,8987,17,0.0008901746967842439,0.0496272393457216,0.1262935351062646,10.79988425925926,38,34,0,,,,v2
payloadcms/payload,CLAUDE.md,package_subtree,"package-subtree (`packages/`, `packages/drizzle/`, `packages/graphql/`, `packages/kv-redis/`, `packages/next/`, +5 more)",6100,7544,17,0.0010604453870625664,0.05156415694591728,0.1312301166489926,10.799918981481483,38,34,80,packages/;packages/drizzle/;packages/graphql/;packages/kv-redis/;packages/next/;packages/payload/;packages/richtext-lexical/;packages/translations/;packages/ui/;test/,usable,,v2
payloadcms/payload,packages/codemod/CLAUDE.md,repo_wide,repository-wide (non-excluded paths),8147,13760,2,0.00014534883720930232,0.005450581395348837,0.026453488372093024,17.059149305555554,3,2,0,,,,v2
payloadcms/payload,packages/codemod/CLAUDE.md,subtree,subtree `packages/codemod/` (non-excluded paths),159,22,2,0.09090909090909091,0.22727272727272727,0.8636363636363636,20.849722222222223,3,2,0,,,,v2
payloadcms/payload,packages/codemod/CLAUDE.md,content_referenced,content-referenced (2/3 refs resolved in HEAD),1,1848,2,0.0005411255411255411,0.003787878787878788,0.012445887445887446,17.888020833333332,3,2,0,,,,v2
payloadcms/payload,packages/codemod/CLAUDE.md,package_subtree,package-subtree (`packages/codemod/`),159,22,2,0.09090909090909091,0.22727272727272727,0.8636363636363636,20.849722222222223,3,2,80,packages/codemod/,usable,,v2
prefecthq/prefect,AGENTS.md,repo_wide,repository-wide (non-excluded paths),4966,17791,13,0.0006744983418582429,0.02529368781968411,0.09010173683323028,12.98755787037037,45,44,0,,,,v2
prefecthq/prefect,AGENTS.md,subtree,subtree=repo root (equivalent to repo-wide for root instruction files),4966,17791,13,0.0006744983418582429,0.02529368781968411,0.09010173683323028,12.98755787037037,45,44,0,,,,v2
prefecthq/prefect,AGENTS.md,content_referenced,content-referenced (44/45 refs resolved in HEAD),4804,13601,13,0.0008087640614660687,0.029777222263068892,0.10793324020292626,13.016909722222223,45,44,0,,,,v2
prefecthq/prefect,AGENTS.md,package_subtree,"package-subtree (`client/`, `src/`, `ui-v2/`, `ui/`)",3141,9764,13,0.0011265874641540352,0.031544448996312986,0.11839410077836952,13.213211805555556,45,44,31,client/;src/;ui-v2/;ui/,usable,,v2
prefecthq/prefect,docs/AGENTS.md,repo_wide,repository-wide (non-excluded paths),4966,17786,8,0.00011244799280332846,0.02260204655346902,0.07078601146969526,12.745659722222221,31,30,0,,,,v2
prefecthq/prefect,docs/AGENTS.md,subtree,subtree `docs/` (non-excluded paths),1083,3077,8,0.0006499837504062399,0.025674358141046474,0.05622359441013974,7.880706018518518,31,30,0,,,,v2
prefecthq/prefect,docs/AGENTS.md,content_referenced,content-referenced (30/31 refs resolved in HEAD),1092,3077,8,0.0006499837504062399,0.025674358141046474,0.05622359441013974,7.880706018518518,31,30,0,,,,v2
prefecthq/prefect,docs/AGENTS.md,package_subtree,package-subtree fallback to subtree `docs/`,1083,3077,8,0.0006499837504062399,0.025674358141046474,0.05622359441013974,7.880706018518518,31,30,31,docs/,fallback_subtree_nested,Nested instruction: package-subtree fell back to parent subtree.,v2
grafana/grafana,CLAUDE.md,repo_wide,repository-wide (non-excluded paths),19773,63841,1,1.566391503892483e-05,0.004840149747027772,0.018076157954919254,14.60300925925926,72,69,0,,,,v2
grafana/grafana,CLAUDE.md,subtree,subtree=repo root (equivalent to repo-wide for root instruction files),19773,63841,1,1.566391503892483e-05,0.004840149747027772,0.018076157954919254,14.60300925925926,72,69,0,,,,v2
grafana/grafana,CLAUDE.md,content_referenced,content-referenced (69/72 refs resolved in HEAD),18362,53649,1,0.0,0.005088631661354359,0.019627579265223957,14.798981481481482,72,69,0,,,,v2
grafana/grafana,CLAUDE.md,package_subtree,"package-subtree (`apps/`, `apps/dashboard/`, `apps/folder/`, `packages/`, `pkg/plugins/`)",4106,12221,1,0.0,0.0072007200720072,0.028148269372391784,17.783871527777777,72,69,110,apps/;apps/dashboard/;apps/folder/;packages/;pkg/plugins/,usable,,v2
grafana/grafana,docs/AGENTS.md,repo_wide,repository-wide (non-excluded paths),19773,63841,1,1.566391503892483e-05,0.003821995269497658,0.014849391456900738,14.3265625,3,3,0,,,,v2
grafana/grafana,docs/AGENTS.md,subtree,subtree `docs/` (non-excluded paths),757,8329,1,0.0,0.0026413735142273983,0.01104574378676912,14.996597222222222,3,3,0,,,,v2
grafana/grafana,docs/AGENTS.md,content_referenced,content-referenced (3/3 refs resolved in HEAD),758,8652,1,0.0,0.0028895053166897826,0.01144244105409154,14.443969907407407,3,3,0,,,,v2
grafana/grafana,docs/AGENTS.md,package_subtree,package-subtree fallback to subtree `docs/`,757,8329,1,0.0,0.0026413735142273983,0.01104574378676912,14.996597222222222,3,3,110,docs/,fallback_subtree_nested,Nested instruction: package-subtree fell back to parent subtree.,v2
