repo_id,instruction_file,reference,reference_type,extraction_rule,confidence,resolved_path,exists_in_head,status,misguidance_category,historical_existence,counts_toward_primary_misguidance,parser_version
apache/airflow,CLAUDE.md,contributing-docs/05_pull_requests.rst,explicit_path,explicit_path,high,contributing-docs/05_pull_requests.rst,True,valid,,,False,v2
apache/airflow,CLAUDE.md,[`.github/instructions/code-review.instructions.md`](.github/instructions/code-review.instructions.md),markdown_link,markdown_link,medium,github/instructions/code-review.instructions.md,True,valid,,,False,v2
apache/airflow,CLAUDE.md,.github/instructions/code-review.instructions.md,code_span,code_span,medium,github/instructions/code-review.instructions.md,True,valid,,,False,v2
apache/airflow,CLAUDE.md,.github/instructions/code-review.instructions.md,explicit_path,explicit_path,high,github/instructions/code-review.instructions.md,True,valid,,,False,v2
apache/airflow,CLAUDE.md,[`.claude/skills/magpie-setup/`](.claude/skills/magpie-setup/),markdown_link,markdown_link,low,claude/skills/magpie-setup/,False,ambiguous,,,False,v2
apache/airflow,CLAUDE.md,[`.apache-magpie.lock`](.apache-magpie.lock),markdown_link,markdown_link,medium,apache-magpie.lock,True,valid,,,False,v2
apache/airflow,CLAUDE.md,.apache-magpie.lock,code_span,code_span,low,apache-magpie.lock,True,valid,,,False,v2
apache/airflow,CLAUDE.md,[Agent-assisted contribution section of `README.md`](README.md#agent-assisted-contribution-apache-steward),markdown_link,markdown_link,low,README.md#agent-assisted-contribution-apache-steward,False,ambiguous,,,False,v2
apache/airflow,CLAUDE.md,README.md,code_span,code_span,low,README.md,True,valid,,,False,v2
apache/airflow,CLAUDE.md,[`.apache-magpie-overrides/`](.apache-magpie-overrides/),markdown_link,markdown_link,medium,apache-magpie-overrides/,True,valid,,,False,v2
apache/airflow,CLAUDE.md,.apache-magpie-overrides/,code_span,code_span,medium,apache-magpie-overrides/,True,valid,,,False,v2
apache/airflow,CLAUDE.md,[`contributing-docs/03a_contributors_quick_start_beginners.rst`](contributing-docs/03a_contributors_quick_start_beginners.rst),markdown_link,markdown_link,medium,contributing-docs/03a_contributors_quick_start_beginners.rst,True,valid,,,False,v2
apache/airflow,CLAUDE.md,contributing-docs/03a_contributors_quick_start_beginners.rst,code_span,code_span,medium,contributing-docs/03a_contributors_quick_start_beginners.rst,True,valid,,,False,v2
apache/airflow,CLAUDE.md,contributing-docs/03a_contributors_quick_start_beginners.rst,explicit_path,explicit_path,high,contributing-docs/03a_contributors_quick_start_beginners.rst,True,valid,,,False,v2
apache/airflow,CLAUDE.md,[`contributing-docs/07_local_virtualenv.rst`](contributing-docs/07_local_virtualenv.rst),markdown_link,markdown_link,medium,contributing-docs/07_local_virtualenv.rst,True,valid,,,False,v2
apache/airflow,CLAUDE.md,contributing-docs/07_local_virtualenv.rst,code_span,code_span,medium,contributing-docs/07_local_virtualenv.rst,True,valid,,,False,v2
apache/airflow,CLAUDE.md,contributing-docs/07_local_virtualenv.rst,explicit_path,explicit_path,high,contributing-docs/07_local_virtualenv.rst,True,valid,,,False,v2
apache/airflow,CLAUDE.md,[`contributing-docs/08_static_code_checks.rst`](contributing-docs/08_static_code_checks.rst),markdown_link,markdown_link,medium,contributing-docs/08_static_code_checks.rst,True,valid,,,False,v2
apache/airflow,CLAUDE.md,contributing-docs/08_static_code_checks.rst,code_span,code_span,medium,contributing-docs/08_static_code_checks.rst,True,valid,,,False,v2
apache/airflow,CLAUDE.md,contributing-docs/08_static_code_checks.rst,explicit_path,explicit_path,high,contributing-docs/08_static_code_checks.rst,True,valid,,,False,v2
apache/airflow,CLAUDE.md,[`contributing-docs/12_provider_distributions.rst`](contributing-docs/12_provider_distributions.rst),markdown_link,markdown_link,medium,contributing-docs/12_provider_distributions.rst,True,valid,,,False,v2
apache/airflow,CLAUDE.md,contributing-docs/12_provider_distributions.rst,code_span,code_span,medium,contributing-docs/12_provider_distributions.rst,True,valid,,,False,v2
